"y","MEN","URBAN","PRIVATE","AGE","SENIORITY"
1,1,0,1,71,27
0,1,0,1,51,8
1,0,1,1,35,14
0,0,0,1,47,8
0,1,0,1,77,14
1,1,0,1,21,5
1,1,1,1,36,10
1,1,1,1,37,13
0,0,0,1,44,3
1,0,0,1,26,4
0,1,1,1,22,2
0,1,1,1,60,3
0,1,0,1,68,21
0,1,1,1,28,5
0,1,0,1,66,8
0,1,1,1,48,15
1,1,1,1,42,5
1,1,0,1,44,17
1,1,0,1,34,3
0,1,0,1,43,15
0,1,1,1,38,4
0,1,0,1,84,14
0,1,0,1,30,4
1,1,1,1,44,19
0,1,1,1,48,9
0,1,0,1,49,7
0,1,0,1,31,13
0,1,1,1,63,9
0,1,1,1,33,14
1,0,0,1,56,20
1,0,1,1,38,12
0,1,1,1,50,20
0,0,0,1,39,13
0,0,1,1,63,19
0,1,0,1,82,5
0,1,0,1,16,3
0,1,0,1,58,17
0,0,0,1,27,11
0,1,0,1,51,2
0,1,0,1,24,4
0,1,1,1,56,9
0,0,0,1,47,4
1,0,1,1,26,5
0,1,0,1,68,6
0,1,0,1,47,18
1,1,1,1,50,20
1,1,0,1,64,26
0,1,0,1,62,15
0,0,1,1,60,7
0,1,1,1,56,3
1,1,0,1,48,20
0,1,0,1,44,5
0,0,0,1,35,13
1,1,0,1,46,25
1,0,0,1,35,22
1,0,1,1,50,12
0,1,0,1,53,13
0,1,0,1,43,4
0,1,0,1,56,19
1,1,0,1,54,18
1,1,0,1,37,20
0,1,0,1,51,3
0,1,0,1,26,2
1,0,1,1,33,14
1,0,0,1,44,13
0,0,0,1,61,9
1,0,1,1,58,28
0,1,1,1,39,15
1,1,1,1,44,18
1,1,0,0,43,8
0,1,0,0,34,9
0,1,0,1,35,17
0,1,0,1,38,15
0,1,1,1,34,6
1,0,0,1,34,14
0,1,1,1,38,10
1,0,0,1,43,9
0,1,0,1,29,2
0,1,0,1,52,8
1,1,0,1,45,23
0,1,0,1,47,8
1,0,1,1,53,15
0,1,0,1,71,21
0,1,1,1,61,6
1,1,0,1,53,20
0,1,0,1,32,7
0,1,0,1,54,2
1,0,1,1,26,3
0,1,0,1,41,13
1,0,1,1,55,5
1,0,1,1,45,3
