"y","MEN","URBAN","PRIVATE","AGE","SENIORITY"
0,1,0,1,68,21
0,1,0,1,66,8
0,1,1,1,48,15
1,1,0,1,44,17
0,1,0,1,43,15
0,1,0,1,84,14
0,1,0,1,31,13
1,0,0,1,56,20
0,0,1,1,63,19
0,1,0,1,16,3
0,1,0,1,24,4
0,1,0,1,47,18
1,1,1,1,50,20
1,1,0,1,64,26
0,0,1,1,60,7
0,1,0,1,44,5
1,1,0,1,54,18
0,1,0,1,51,3
1,0,1,1,58,28
0,1,1,1,39,15
1,1,1,1,44,18
1,1,0,0,43,8
0,1,1,1,34,6
1,0,0,1,43,9
0,1,0,1,32,7
1,0,1,1,26,3
0,1,0,1,41,13
0,1,1,1,74,11
1,0,1,1,49,6
0,0,1,1,36,14
0,1,0,1,48,18
1,0,1,1,26,6
0,0,1,1,29,4
0,1,0,1,44,2
0,1,0,1,32,8
1,1,1,1,34,3
1,1,1,1,37,13
1,1,1,1,36,9
1,1,1,1,43,21
0,0,0,1,35,2
0,1,0,1,55,15
1,0,1,1,40,6
1,1,1,1,73,18
1,0,1,1,46,21
0,1,1,1,47,22
0,1,1,0,45,9
1,1,1,1,37,10
0,0,1,1,44,3
1,0,1,1,54,7
0,1,0,1,44,13
1,0,1,1,37,6
0,1,0,1,56,17
1,0,0,1,42,8
0,1,0,1,63,20
0,1,1,1,64,17
1,1,0,1,48,10
1,1,0,1,35,2
0,1,0,1,39,14
1,1,1,1,54,13
0,1,0,1,33,2
1,0,1,1,38,10
0,1,0,1,43,7
1,1,1,1,54,6
1,1,0,1,42,15
0,1,0,1,60,11
0,1,0,1,66,6
0,1,1,1,30,3
0,1,0,1,47,3
0,1,1,1,26,7
0,1,1,1,60,6
0,0,0,1,67,6
0,1,0,1,38,14
0,1,0,1,41,8
1,1,1,1,69,20
1,1,1,1,43,8
1,0,0,1,30,4
0,1,0,1,35,12
0,1,1,1,72,13
1,0,1,1,29,6
0,0,0,1,34,4
0,1,0,1,76,15
1,1,1,1,44,8
0,1,0,1,37,11
0,1,1,1,48,2
0,0,0,1,52,29
0,1,1,1,38,13
0,0,1,1,35,15
0,1,0,1,52,8
0,1,0,1,30,8
0,1,0,1,81,3
0,1,0,1,73,21
1,0,1,1,53,19
1,0,0,1,29,10
0,0,0,1,56,7
1,0,0,1,27,3
1,1,0,1,39,16
0,0,0,1,53,3
0,0,1,1,29,2
0,1,0,1,74,10
1,0,0,1,27,2
1,1,0,1,56,27
1,1,1,1,50,21
0,0,0,1,49,3
0,1,0,1,42,16
1,1,0,1,39,15
0,0,0,1,26,5
0,1,1,1,29,8
0,1,1,1,47,18
0,1,1,1,38,22
0,1,1,1,42,9
1,1,1,1,41,18
0,1,0,1,58,14
0,1,1,1,60,9
1,0,1,1,34,20
0,1,1,1,68,4
0,0,1,1,57,20
0,1,0,1,33,8
0,1,1,1,41,17
1,1,1,1,34,11
1,0,0,1,70,19
1,1,0,1,49,21
0,0,1,1,61,14
1,1,0,1,49,20
1,0,0,1,33,15
1,0,1,1,29,3
1,1,1,1,50,26
0,1,0,1,33,14
0,1,1,1,40,26
0,1,0,1,45,5
0,1,0,1,70,5
1,1,0,1,38,14
1,1,1,1,43,15
0,1,0,1,64,3
0,1,1,1,76,21
1,1,0,1,44,22
1,0,1,1,43,2
0,1,0,1,38,18
0,1,0,1,49,9
0,0,0,1,23,3
1,1,0,1,51,21
0,1,0,1,45,19
0,1,0,1,40,14
0,1,0,1,38,9
0,1,0,1,27,6
0,1,0,1,42,6
0,0,1,1,44,14
1,1,0,1,35,16
0,1,0,0,29,10
0,1,0,1,28,2
0,1,0,1,44,8
0,1,1,1,53,20
0,1,0,1,68,20
0,0,0,1,46,7
0,1,0,1,61,13
0,0,1,1,37,13
1,1,0,1,30,5
0,1,0,1,35,3
0,1,0,1,74,3
0,1,1,1,31,2
1,1,0,1,43,17
1,1,0,1,55,8
0,1,0,1,29,4
0,1,0,0,59,21
1,1,1,1,43,8
0,1,1,1,48,6
1,1,0,1,52,24
0,0,0,1,52,8
0,1,0,1,46,22
0,1,0,1,43,5
0,0,1,1,28,5
0,1,0,1,36,11
1,1,0,1,41,18
1,1,0,1,62,23
1,0,1,1,57,5
1,1,1,1,57,14
1,0,0,1,42,11
1,0,1,1,36,9
1,1,0,1,59,26
0,1,0,1,55,7
1,0,1,1,39,3
1,1,0,1,50,19
0,0,0,1,55,15
0,0,0,1,40,3
1,0,0,1,59,26
1,0,0,1,33,9
0,0,0,1,47,8
1,1,1,1,39,15
1,1,0,1,24,3
0,1,1,1,62,10
0,1,1,1,56,4
0,1,0,1,27,5
1,1,1,1,48,20
0,1,0,1,79,21
0,1,1,1,55,7
0,1,0,1,44,8
0,0,0,1,55,11
0,1,1,1,50,2
1,1,1,1,47,17
0,1,0,1,36,9
0,0,0,1,37,4
0,1,0,1,41,9
0,1,0,1,27,4
1,0,1,1,60,19
0,1,0,1,50,14
0,1,1,1,61,13
1,0,0,1,35,3
0,1,0,1,27,14
1,1,0,1,31,13
0,1,1,1,49,4
1,1,1,1,33,9
0,1,0,1,41,15
0,1,1,1,58,3
0,1,1,1,46,10
0,1,0,1,41,11
1,1,0,1,40,14
0,1,0,1,70,26
0,1,1,1,64,26
0,1,1,1,51,20
0,0,0,1,28,3
0,1,0,1,58,5
1,1,0,1,38,14
1,1,0,1,37,15
0,1,0,1,51,3
1,1,0,1,30,12
0,1,0,1,31,4
0,1,0,1,39,7
1,1,0,1,74,29
0,1,0,1,72,21
0,1,1,1,44,15
1,0,0,1,27,5
0,1,1,1,63,24
0,1,0,1,71,22
0,1,0,1,42,6
1,1,0,1,50,12
0,1,0,1,53,8
1,1,1,1,34,15
0,1,0,1,56,10
0,1,1,1,69,14
0,1,0,1,48,12
1,1,0,1,48,18
1,0,0,1,47,23
1,0,0,1,49,15
0,1,0,1,33,9
0,0,0,1,43,12
0,0,0,1,53,21
1,1,0,1,49,19
0,1,0,1,67,2
1,0,1,1,68,14
1,0,1,1,30,6
0,0,1,1,44,15
1,1,1,1,50,24
1,1,1,1,57,23
0,1,1,1,70,5
0,1,0,1,50,4
0,1,1,1,52,6
0,1,0,1,50,12
0,1,1,1,53,22
1,1,1,1,53,27
0,0,1,1,31,7
0,1,1,1,48,3
0,0,0,1,30,4
0,1,0,1,41,12
0,0,1,1,30,4
1,1,0,1,39,14
0,0,0,1,62,3
0,1,0,1,44,10
0,1,0,1,40,8
1,1,0,1,36,17
0,1,0,1,30,3
0,1,1,1,69,14
0,0,1,1,29,4
1,1,1,1,61,24
0,1,0,1,68,12
1,1,0,1,33,34
0,1,1,1,18,2
1,0,0,1,33,15
0,1,0,1,58,12
0,1,1,1,51,21
0,1,0,1,34,2
1,1,0,1,37,15
1,0,1,1,46,18
0,1,1,1,63,13
0,1,1,1,65,20
0,1,0,1,31,2
0,1,0,1,71,3
0,1,0,1,57,2
0,0,0,1,36,6
0,1,0,1,35,8
0,0,0,1,38,12
1,0,0,1,44,12
0,1,1,1,52,3
1,1,0,1,43,15
1,1,1,1,63,14
0,1,1,1,54,11
0,1,0,1,72,8
0,1,0,1,62,8
1,1,0,1,50,23
0,1,0,1,44,7
0,1,0,1,69,11
0,1,0,1,52,3
