"Id","Regiao","Prima","CustoProduto","Pmaquinabase","Pmaquina1","Pmaquina2","Pmaquina3","Cmaquina1","Cmaquina2","Cmaquina3","Resposta"
938,"554",2263,37425,1135.97,1983.25,2513.21,2660.26,1202.43654617004,1135.97,896.428274000183,0
2013,"556",1600,13381,934.7,1888.28,1813.48,1990.46,1025.91865474116,934.7,973.253256721883,0
1349,"554",2536,20309,1175.67,1678.54,1772.24,1941.19,1287.74818720941,1175.67,1113.511218458,0
947,"554",3145,90594,847.9,3081.66,3145.16,3304.89,890.961423584174,847.9,830.781109387122,0
2990,"560",3548,61814,1019.69,1980.73,2030.62,2184.2,1096.81126847958,1019.69,994.63738843309,0
3310,"559",1561,40509,832.03,1479.22,1608.18,1671.93,865.012571913592,832.03,765.309490604286,0
3310,"552",3240,75442,1259.34,2116.18,2050.73,2183.92,1341.1311156515,1259.34,1299.53242074773,0
155,"556",2336,23725,473.2,937.75,870.2,911.83,495.837687887842,473.2,509.932544242703,0
3012,"554",3000,43132,1056.69,1818.33,2142.23,2340.65,1154.56391167148,1056.69,896.921025146693,0
1557,"554",1789,20715,827.24,1346.38,1607.95,1782.37,916.973636493672,827.24,692.670413383501,0
196,"552",4613,68603,2505.77,4509.5,5413.28,5662.89,2621.31274851846,2505.77,2087.4164674652,0
1340,"554",1477,47573,1445,1999.21,2490.52,2601.58,1509.43702519956,1445,1159.94187960747,0
708,"554",1830,37510,1724.4,3429.77,3896.61,4120.15,1823.32505947477,1724.4,1517.80532000893,0
1431,"553",2901,23318,728.18,1168.63,1029.83,1156.78,817.944767971413,728.18,826.323755765515,0
2363,"560",2296,23547,1165,1696.53,1859.15,2061.26,1291.64828012802,1165,1063.09735631875,0
545,"553",1962,29251,917.52,1623.73,1764.62,1896.66,986.174634312203,917.52,844.263778943909,0
1102,"556",3206,67401,1182.61,2586.42,3089.91,3270.99,1251.91526092993,1182.61,989.907847218851,0
596,"558",1483,34388,755.68,1648.19,1790.94,1916.95,808.849417624264,755.68,695.44720604822,0
1562,"559",1688,24272,768.87,1226.09,1298.4,1392.69,824.705453096118,768.87,726.050383780037,0
2189,"560",2029,24339,1012.99,2069.29,2124.46,2350.89,1120.95688367868,1012.99,986.683711201905,0
48,"555",2920,14785,711.15,1289.11,1902.28,2188.59,818.184377956978,711.15,481.921997024623,1
434,"552",1508,34482,952.52,1663.64,1864.32,2006.08,1024.9481428081,952.52,849.988399416409,0
18,"553",2035,28137,773.06,1563.98,1413.85,1561.73,853.917313576405,773.06,855.147560773774,1
2905,"560",2901,66482,2019.93,2802.99,3176.59,3292.71,2093.7683838015,2019.93,1782.36523778643,0
3310,"558",3474,64450,1730.18,1790.58,2789.83,2996.42,1858.30174440737,1730.18,1110.47114139571,0
4002,"552",2901,71634,1453.04,2172.6,2092.99,2190.96,1521.05481555096,1453.04,1508.3085461469,2
3975,"554",2559,50520,599.35,1391.89,1290.01,1460.09,678.370664956086,599.35,646.684344695002,2
3310,"554",1294,31963,509.03,1170.05,1242.63,1332.46,545.827892292959,509.03,479.298384474864,0
2879,"555",1749,58125,1444.7,4579.96,5393.99,5615.75,1504.09511789974,1444.7,1226.67417106817,0
2648,"554",1896,21382,1578.98,2320.62,2880.9,3149.62,1726.26158061717,1578.98,1271.89856211601,0
