"Id","Regiao","Prima","CustoProduto","Pmaquinabase","Pmaquina1","Pmaquina2","Pmaquina3","Cmaquina1","Cmaquina2","Cmaquina3","Resposta"
947,"554",3145,90594,847.9,3081.66,3145.16,3304.89,890.961423584174,847.9,830.781109387122,0
3310,"559",1561,40509,832.03,1479.22,1608.18,1671.93,865.012571913592,832.03,765.309490604286,0
1557,"554",1789,20715,827.24,1346.38,1607.95,1782.37,916.973636493672,827.24,692.670413383501,0
708,"554",1830,37510,1724.4,3429.77,3896.61,4120.15,1823.32505947477,1724.4,1517.80532000893,0
2363,"560",2296,23547,1165,1696.53,1859.15,2061.26,1291.64828012802,1165,1063.09735631875,0
1562,"559",1688,24272,768.87,1226.09,1298.4,1392.69,824.705453096118,768.87,726.050383780037,0
18,"553",2035,28137,773.06,1563.98,1413.85,1561.73,853.917313576405,773.06,855.147560773774,1
2905,"560",2901,66482,2019.93,2802.99,3176.59,3292.71,2093.7683838015,2019.93,1782.36523778643,0
3310,"554",1294,31963,509.03,1170.05,1242.63,1332.46,545.827892292959,509.03,479.298384474864,0
3310,"553",1728,33317,725.17,1213.65,1296.2,1430.87,800.5122650054,725.17,678.986707683999,0
3310,"558",11354,119219,946.79,1943.44,2026.71,2026.74,946.804014683897,946.79,907.889909064444,0
3076,"552",5094,42319,1809.51,2716.91,3532.15,3748.56,1920.37620304913,1809.51,1391.86495876449,0
3310,"556",2901,71171,1129.94,2079.33,2829.43,2990.18,1194.1359175523,1129.94,830.385674923925,0
976,"557",2651,76300,1681.91,4465.14,6072.14,6405.05,1774.12207977748,1681.91,1236.79026132467,0
4084,"560",1740,27853,1192.39,2048.23,1685.15,1961.09,1387.64151861852,1192.39,1449.30063774738,3
1815,"553",3809,26544,1178.29,1896.95,2362.23,2643.44,1318.55869987258,1178.29,946.206430152864,0
2058,"556",2057,77354,3056.16,3449.99,3574.82,3704.15,3166.7258950101,3056.16,2949.44121337578,0
2617,"558",1196,66427,1226.13,2002.16,2236.98,2297.55,1259.32953423812,1226.13,1097.42082665022,0
2987,"556",1842,34637,742.7,1166.7,1277.81,1344.85,781.665580172326,742.7,678.119665677996,0
1146,"558",2940,29465,1757.12,2420.42,3191.98,3499.6,1926.45854673275,1757.12,1332.39192927274,0
968,"558",1669,34087,2396.63,3206.41,3911.36,4180.77,2561.70713130471,2396.63,1964.68195162296,0
3534,"559",1382,16640,889.58,1458.19,1537,1694.5,980.737351984385,889.58,843.966597397528,0
3412,"558",1582,17736,775.19,863.64,915.16,1037.7,878.988005376109,775.19,731.549774465667,0
3965,"554",2901,70545,1112.4,1378.03,1297.41,1330.89,1141.1057691863,1112.4,1181.5236293847,2
3324,"554",1830,34263,838.34,2503.6,2791.09,2943.16,884.016192383621,838.34,751.988658194469,0
3502,"555",1833,44942,1340.77,2855.9,3589.08,3895.73,1455.32501702386,1340.77,1066.87648171676,0
2839,"555",1773,24299,1198.54,1614.27,1977.25,2219.64,1345.46836545707,1198.54,978.514181717031,0
3347,"556",1747,33309,758.54,1548.26,1334.14,1400.17,796.082084189066,758.54,880.280285727135,0
3733,"553",2195,17455,999.02,1514.98,1661.82,1831.46,1101.00081188095,999.02,910.745640081357,0
3769,"554",1852,33626,757.08,1189.53,1432.98,1561.56,825.012104007034,757.08,628.459135786961,2
2218,"553",1529,16256,370.55,786.85,781.73,802.01,380.16297890576,370.55,372.976945364768,0
1402,"556",1688,40237,1031.77,1564.06,1754.8,1852.93,1089.4675097447,1031.77,919.62057567814,0
2942,"560",1854,40266,1799.62,2755,3278.58,3529,1937.07610611911,1799.62,1512.22575017233,0
2161,"556",5219,54999,1753.57,3203.05,4259.44,4567.43,1880.36648599346,1753.57,1318.66451657964,0
3411,"554",5435,85578,1775.57,3720.69,5020.43,5223.63,1847.43552227598,1775.57,1315.89237242627,0
3987,"559",2057,71783,1246.61,1387.75,1348.88,1386.14,1281.04500429986,1246.61,1282.53293658443,2
42,"554",1728,31989,789.17,1420.87,1431.4,1538.76,848.360506636859,789.17,783.364522774906,1
2068,"558",3240,70637,1796.57,2476.29,2978.48,3200.81,1930.67578822084,1796.57,1493.65727663103,0
2966,"554",1669,19000,572.45,1088.4,1124.94,1244.41,633.244888171814,572.45,553.855832311057,0
3310,"552",2296,29190,1431.64,1598.12,1805.08,1914.25,1518.22460500366,1431.64,1267.49646375784,0
1634,"556",1833,36560,1131.92,1547.48,1736.75,1839.41,1198.82825231035,1131.92,1008.56401992227,0
2792,"553",3792,27440,1032.05,1696.78,2026.52,2232.54,1136.9702282731,1032.05,864.122633381363,0
2547,"552",1719,21362,1120.75,1844.93,2204.14,2497.77,1270.05350272669,1120.75,938.100709346956,0
2523,"556",2186,71849,1515.24,2243.25,2579.17,2823.09,1658.54088392778,1515.24,1317.8899141972,0
3306,"558",2880,57910,2379.94,2181.78,2750.56,2903.74,2512.47999520098,2379.94,1887.79939110581,0
3310,"554",1443,19715,823.41,1432.97,1495.9,1674.53,921.735909686476,823.41,788.77052456715,0
752,"555",1721,50210,706.76,1253,1054.48,1104.45,740.252145133146,706.76,839.817047265003,0
4024,"554",2113,30054,630.66,1042.51,932.2,1027.04,694.821976399914,630.66,705.287874490453,2
623,"558",2692,31836,1268.87,2031.92,2325.36,2467.36,1346.3545787319,1268.87,1108.74975504868,0
748,"557",1728,31989,685.86,1185.25,1261.37,1349.75,733.915928712432,685.86,644.470349699137,0
